video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids,is_age_restricted,df_index,id,avc
09qBXyfcBdI,200 IQ LEGO Minifigure TRICKS!!,https://www.youtube.com/watch?v=09qBXyfcBdI,TD BRICKS,2022-03-04T08:17:29-08:00,False,False,1221,1221,1211
7qH5Dq3kumI,Shredding Paper with Lego Gears,https://www.youtube.com/watch?v=7qH5Dq3kumI,Brick Experiment Channel,2019-05-25T01:49:20-07:00,False,False,1222,1222,1212
M1-YeqGynlw,20 Mechanical Principles combined in a Useless Lego Machine,https://www.youtube.com/watch?v=M1-YeqGynlw,Brick Experiment Channel,2022-09-17T06:59:40-07:00,False,False,1223,1223,1213
q9jexkHgjxo,Learning Money /Coin Song  / Money Song,https://www.youtube.com/watch?v=q9jexkHgjxo,KLT,2016-08-26T23:35:07-07:00,False,False,1224,1224,1214
-UcTWZkNZ-E,Our lawn mower business made us RICH | Farming Simulator 22,https://www.youtube.com/watch?v=-UcTWZkNZ-E,Hudson's Playground Gaming,2022-01-20T06:00:00-08:00,False,False,1225,1225,1215
abmAdtvLEOg,How an abandoned barn changed our life | Farming Simulator 22,https://www.youtube.com/watch?v=abmAdtvLEOg,Hudson's Playground Gaming,2023-10-05T06:00:01-07:00,False,False,1226,1226,1216
05lq_heGWos,Spreading SLURRY on grass fields & planting CORN | Calmsden Farm | Farming Simulator 22 | Episode 11,https://www.youtube.com/watch?v=05lq_heGWos,The CamPeR,2022-04-13T01:00:00-07:00,False,False,1227,1227,1217
m0dikl3Tr0g,Using Monster Truck to sell food to Millionaires | Farming Simulator 22,https://www.youtube.com/watch?v=m0dikl3Tr0g,Hudson's Playground Gaming,2023-03-28T06:00:35-07:00,False,False,1228,1228,1218
kzqBkoo23gk,Huge storm floods RV park full of campers | Farming Simulator 22,https://www.youtube.com/watch?v=kzqBkoo23gk,Hudson's Playground Gaming,2023-03-12T06:00:28-07:00,False,False,1229,1229,1219
qOMqO3-DBmk,Finding abandoned farm full of tractors and more | Farming Simulator 22,https://www.youtube.com/watch?v=qOMqO3-DBmk,Hudson's Playground Gaming,2021-11-25T06:00:17-08:00,False,False,1230,1230,1220
aa0Bh7-dTQM,Finding hidden key to abandoned barns | Farming Simulator 22,https://www.youtube.com/watch?v=aa0Bh7-dTQM,Hudson's Playground Gaming,2022-08-21T06:00:00-07:00,False,False,1231,1231,1221
d2rHHtTuImg,Harvesting GRASS SILAGE in UK🇬🇧 | Calmsden Farm | Farming Simulator 22 Multiplayer | Episode 15,https://www.youtube.com/watch?v=d2rHHtTuImg,The CamPeR,2022-08-16T04:00:19-07:00,False,False,1232,1232,1222
