video_id,video_url,video_title,channel_title,channel_id
Jzl_nrTkfIM,https://www.youtube.com/watch?v=Jzl_nrTkfIM,Maiara & Maraisa - Medo Bobo (Ao Vivo em Goiânia),Maiara e Maraisa,UCULzCZWkkOb9dW8rr6dguQQ
l9sqdaEpSPM,https://www.youtube.com/watch?v=l9sqdaEpSPM,Plan B - Fanatica Sensual Lyric Video,planbVEVO,UCejLTr26aV1sOcLWEUvggxA
xUVz4nRmxn4,https://www.youtube.com/watch?v=xUVz4nRmxn4,Galantis - No Money (Official Video),Galantis,UC0YlhwQabxkHb2nfRTzsTTA
gJLIiF15wjQ,https://www.youtube.com/watch?v=gJLIiF15wjQ,Spice Girls - Wannabe (Official Music Video),SpiceGirlsVEVO,UCc3_ZthcYkMidoyly5kr83w
xo1VInw-SKc,https://www.youtube.com/watch?v=xo1VInw-SKc,Rachel Platten - Fight Song (Official Video),RachelPlattenVEVO,UCG-8AlopydqubtQLoNoqXLQ
0habxsuXW4g,https://www.youtube.com/watch?v=0habxsuXW4g,Mariah Carey - We Belong Together (Official Music Video),MariahCareyVEVO,UClS0wn3LPs9jdX_yt2g1k8w
F0rwOsAteXM,https://www.youtube.com/watch?v=F0rwOsAteXM,Pablo Alborán - Solamente Tú (Videoclip Oficial),Pablo Alborán,UCf3L_9odIRo9G2L_-hsb7lg
JNkTNAknE4I,https://www.youtube.com/watch?v=JNkTNAknE4I,Romeo Santos - Sobredosis (Official Video) ft. Ozuna,RomeoSantosVEVO,UCNnwYefwrkVBAbMUzLpxbEQ
8sgycukafqQ,https://www.youtube.com/watch?v=8sgycukafqQ,What I've Done [Official Music Video] - Linkin Park,Linkin Park,UCZU9T1ceaOgwfLRq7OKFU4Q
JwQZQygg3Lk,https://www.youtube.com/watch?v=JwQZQygg3Lk,The Black Eyed Peas - The Time (Dirty Bit),BlackEyedPeasVEVO,UCrwmu-gceGOmtZeuTsn7DlQ
JQGRg8XBnB4,https://www.youtube.com/watch?v=JQGRg8XBnB4,[MV] MOMOLAND (모모랜드) _ BBoom BBoom (뿜뿜),1theK (원더케이),UCweOkPb1wVVH0Q0Tlj4a5Pw
bg1sT4ILG0w,https://www.youtube.com/watch?v=bg1sT4ILG0w,Nico & Vinz - Am I Wrong [Official Music Video],Nico & Vinz,UCxoxU-QnI2RhSaAfhfThxHQ
kdemFfbS5H0,https://www.youtube.com/watch?v=kdemFfbS5H0,#SELFIE (Official Music Video) - The Chainsmokers,The Chainsmokers,UCq3Ci-h945sbEYXpVlw7rJg
bpOR_HuHRNs,https://www.youtube.com/watch?v=bpOR_HuHRNs,Flo Rida - Wild Ones ft. Sia [Official Video],Flo Rida,UCBRFlde39a2U4nAkmGqJwAQ
MtN1YnoL46Q,https://www.youtube.com/watch?v=MtN1YnoL46Q,The Duck Song,forrestfire101,UCOmMUjaCM5koM_nSJ1KVg5Q
0PGrtdcvlVE,https://www.youtube.com/watch?v=0PGrtdcvlVE,Do You Want To Build a Snowman? - Frozen Cover Little Anna In Real Life,Working with Lemons,UCjxq9YFOGXx_wPr5Z8jidEA
gEPmA3USJdI,https://www.youtube.com/watch?v=gEPmA3USJdI,"AC/DC - Highway to Hell (Live At River Plate, December 2009)",acdcVEVO,UCmPuJ2BltKsGE2966jLgCnw
eCyMh-mZ1B0,https://www.youtube.com/watch?v=eCyMh-mZ1B0,Marília Mendonça - Infiel - Vídeo Oficial do DVD,Marília Mendonça,UCwfEOn0O1DWcyTgzVVu28ig
